name,specialty,city,address,phone,priority
Dr. Sana Khan,Dentist,Lahore,Lahore Address 53,332-9155591,4
Dr. Rida Hanif,Dentist,Lahore,Lahore Address 20,302-8319626,3
Dr. Hassan Noor,Endocrinologist,Lahore,Lahore Address 83,338-1253283,5
Dr. Arif Waqar,Endocrinologist,Lahore,Lahore Address 76,312-5560254,4
Dr. Tariq Adeel2,Endocrinologist,Lahore,Lahore Address 63,351-3908453,3
Dr. Nadia Javed,Psychiatrist,Lahore,Lahore Address 7,347-9956354,5
Dr. Anum Arslan,Psychiatrist,Lahore,Lahore Address 61,334-6673954,4
Dr. Zeeshan Tariq,Psychiatrist,Lahore,Lahore Address 5,317-2907637,3
Dr. Omar Farhan2,Oncologist,Lahore,Lahore Address 11,349-4195048,5
Dr. Haroon Ahmed,Oncologist,Lahore,Lahore Address 47,366-3415840,4
Dr. Adnan Saeed,Oncologist,Lahore,Lahore Address 25,383-2528140,3
Dr. Saad Raza,Pulmonologist,Lahore,Lahore Address 23,338-4802812,5
Dr. Fatima Sami,Pulmonologist,Lahore,Lahore Address 61,348-8764806,4
Dr. Faisal Iqbal,Pulmonologist,Lahore,Lahore Address 84,337-7600635,3
Dr. Zubair Khurram,Cardiologist,Karachi,Karachi Address 62,331-5183544,5
Dr. Waqas Iqbal,Cardiologist,Karachi,Karachi Address 36,396-9015431,4
Dr. Zainab Amna2,Cardiologist,Karachi,Karachi Address 83,345-3802613,3
Dr. Sajid Raza,Dermatologist,Karachi,Karachi Address 9,317-4632822,5
Dr. Tahir Qureshi,Dermatologist,Karachi,Karachi Address 26,343-5867446,4
Dr. Imran Hussain,Dermatologist,Karachi,Karachi Address 2,353-2991652,3
Dr. Yousaf Rauf,Pediatrician,Karachi,Karachi Address 22,383-5500153,5
Dr. Maryam Khalid,Pediatrician,Karachi,Karachi Address 65,360-9578475,4
Dr. Nimra Shahid,Pediatrician,Karachi,Karachi Address 10,362-9729815,3
Dr. Mariam Malik,Neurologist,Karachi,Karachi Address 33,344-3480179,5
Dr. Saima Ali,Neurologist,Karachi,Karachi Address 92,336-9864892,4
Dr. Lubna Hafsa,Neurologist,Karachi,Karachi Address 14,381-8217834,3
Dr. Ayesha Iqbal,Gynecologist,Karachi,Karachi Address 25,382-6328422,5
Dr. Farhan Ahmed,Gynecologist,Karachi,Karachi Address 41,390-9430478,4
Dr. Shahbaz Hussain,Gynecologist,Karachi,Karachi Address 16,368-8120098,3
Dr. Mehreen Mehmood,Orthopedic Surgeon,Karachi,Karachi Address 36,375-6519603,5
Dr. Iqra Qaiser,Orthopedic Surgeon,Karachi,Karachi Address 64,319-2368476,4
Dr. Bilal2 Jameel,Orthopedic Surgeon,Karachi,Karachi Address 15,336-9076901,3
Dr. Hira Sumaira,ENT Specialist,Karachi,Karachi Address 69,310-6266672,5
Dr. Khalid Riaz,ENT Specialist,Karachi,Karachi Address 88,385-3015661,4
Dr. Areeba Noman,ENT Specialist,Karachi,Karachi Address 20,387-8669298,3
Dr. Bushra Bilal3,Urologist,Karachi,Karachi Address 14,385-6257390,5
Dr. Nadia2 Haider,Urologist,Karachi,Karachi Address 80,377-9894664,4
Dr. Amna Zia,Urologist,Karachi,Karachi Address 6,341-4791962,3
Dr. Sadia Mehmood,Dentist,Karachi,Karachi Address 99,389-1221100,5
Dr. Mahnoor Tariq2,Dentist,Karachi,Karachi Address 30,305-8532292,4
Dr. Mariam2 Malik,Dentist,Karachi,Karachi Address 58,327-8416465,3
Dr. Adeel Khan,Endocrinologist,Karachi,Karachi Address 40,379-6083156,5
Dr. Junaid Farooq,Endocrinologist,Karachi,Karachi Address 91,372-2104753,4
Dr. Ahsan Aslam,Endocrinologist,Karachi,Karachi Address 7,391-2475679,3
Dr. Nida Iqbal,Psychiatrist,Karachi,Karachi Address 49,325-2302179,5
Dr. Fawad Iqbal,Psychiatrist,Karachi,Karachi Address 50,340-5246363,4
Dr. Natasha Akram,Psychiatrist,Karachi,Karachi Address 58,384-1443726,3
Dr. Yasir Qadir,Oncologist,Karachi,Karachi Address 83,372-6814551,5
Dr. Salman Shabbir,Oncologist,Karachi,Karachi Address 3,324-6896664,4
Dr. Usman Rafiq,Oncologist,Karachi,Karachi Address 22,315-5981418,3
Dr. Hira2 Tariq,Pulmonologist,Karachi,Karachi Address 11,302-9726564,5
Dr. Ali Zafar,Pulmonologist,Karachi,Karachi Address 5,381-1092920,4
Dr. Irfan Imtiaz,Pulmonologist,Karachi,Karachi Address 36,369-8538796,3
Dr. Kiran Abbas,Cardiologist,Rawalpindi,Rawalpindi Address 40,366-2819570,5
Dr. Hina Baig,Cardiologist,Rawalpindi,Rawalpindi Address 53,377-5495461,4
Dr. Asma Shahid,Cardiologist,Rawalpindi,Rawalpindi Address 20,339-9001982,3
Dr. Noor Anwar,Dermatologist,Rawalpindi,Rawalpindi Address 46,326-5313492,5
Dr. Danish Nadeem,Dermatologist,Rawalpindi,Rawalpindi Address 79,382-6964561,4
Dr. Rabia Khan,Dermatologist,Rawalpindi,Rawalpindi Address 59,350-3068101,3
Dr. Talha Hanif,Pediatrician,Rawalpindi,Rawalpindi Address 28,333-7034958,5
Dr. Bilal Noor,Pediatrician,Rawalpindi,Rawalpindi Address 2,374-1537269,4
Dr. Hamza Waqar,Pediatrician,Rawalpindi,Rawalpindi Address 3,368-7474522,3
Dr. Usman2 Adeel2,Neurologist,Rawalpindi,Rawalpindi Address 91,384-3799458,5
Dr. Shazia Javed,Neurologist,Rawalpindi,Rawalpindi Address 31,394-6005414,4
Dr. Kamran Arslan,Neurologist,Rawalpindi,Rawalpindi Address 24,386-4710517,3
Dr. Sara Tariq,Gynecologist,Rawalpindi,Rawalpindi Address 43,330-9431959,5
Dr. Samina Farhan2,Gynecologist,Rawalpindi,Rawalpindi Address 66,343-2298502,4
Dr. Ahmed Ahmed,Gynecologist,Rawalpindi,Rawalpindi Address 87,398-1820091,3
Dr. Sana Saeed,Orthopedic Surgeon,Rawalpindi,Rawalpindi Address 81,348-1641857,5
Dr. Rida Raza,Orthopedic Surgeon,Rawalpindi,Rawalpindi Address 82,320-7970822,4
Dr. Hassan Sami,Orthopedic Surgeon,Rawalpindi,Rawalpindi Address 45,391-1054987,3
Dr. Arif Iqbal,ENT Specialist,Rawalpindi,Rawalpindi Address 49,348-3491486,5
Dr. Tariq Khurram,ENT Specialist,Rawalpindi,Rawalpindi Address 98,308-2089266,4
Dr. Nadia Iqbal,ENT Specialist,Rawalpindi,Rawalpindi Address 68,347-1704873,3
Dr. Anum Amna2,Urologist,Rawalpindi,Rawalpindi Address 87,353-6617148,5
Dr. Zeeshan Raza,Urologist,Rawalpindi,Rawalpindi Address 12,322-7338967,4
Dr. Omar Qureshi,Urologist,Rawalpindi,Rawalpindi Address 10,334-9005625,3
Dr. Haroon Hussain,Dentist,Rawalpindi,Rawalpindi Address 39,320-7043689,5
Dr. Adnan Rauf,Dentist,Rawalpindi,Rawalpindi Address 71,355-9083369,4
Dr. Saad Khalid,Dentist,Rawalpindi,Rawalpindi Address 92,362-4267370,3
Dr. Fatima Shahid,Endocrinologist,Rawalpindi,Rawalpindi Address 59,360-2344951,5
Dr. Faisal Malik,Endocrinologist,Rawalpindi,Rawalpindi Address 98,364-2558164,4
Dr. Zubair Ali,Endocrinologist,Rawalpindi,Rawalpindi Address 58,353-5209721,3
Dr. Waqas Hafsa,Psychiatrist,Rawalpindi,Rawalpindi Address 40,357-6775057,5
Dr. Zainab Iqbal,Psychiatrist,Rawalpindi,Rawalpindi Address 44,385-1662639,4
Dr. Sajid Ahmed,Psychiatrist,Rawalpindi,Rawalpindi Address 56,323-1736436,3
Dr. Tahir Hussain,Oncologist,Rawalpindi,Rawalpindi Address 14,378-2642370,5
Dr. Imran Mehmood,Oncologist,Rawalpindi,Rawalpindi Address 94,398-7619147,4
Dr. Yousaf Qaiser,Oncologist,Rawalpindi,Rawalpindi Address 94,360-3154049,3
Dr. Maryam Jameel,Pulmonologist,Rawalpindi,Rawalpindi Address 19,312-4365103,5
Dr. Nimra Sumaira,Pulmonologist,Rawalpindi,Rawalpindi Address 71,385-7455588,4
Dr. Mariam Riaz,Pulmonologist,Rawalpindi,Rawalpindi Address 93,303-3203501,3
Dr. Saima Noman,Cardiologist,Peshawar,Peshawar Address 61,374-3309138,5
Dr. Lubna Bilal3,Cardiologist,Peshawar,Peshawar Address 83,396-8774080,4
Dr. Ayesha Haider,Cardiologist,Peshawar,Peshawar Address 56,362-9791484,3
Dr. Farhan Zia,Dermatologist,Peshawar,Peshawar Address 69,320-3294602,5
Dr. Shahbaz Mehmood,Dermatologist,Peshawar,Peshawar Address 33,330-8627071,4
Dr. Mehreen Tariq2,Dermatologist,Peshawar,Peshawar Address 91,320-6348609,3
Dr. Iqra Malik,Pediatrician,Peshawar,Peshawar Address 13,366-6970107,5
Dr. Bilal2 Khan,Pediatrician,Peshawar,Peshawar Address 43,301-7929946,4
Dr. Hira Farooq,Pediatrician,Peshawar,Peshawar Address 73,303-1419493,3
Dr. Khalid Aslam,Neurologist,Peshawar,Peshawar Address 4,353-8109769,5
Dr. Areeba Iqbal,Neurologist,Peshawar,Peshawar Address 71,399-6870723,4
Dr. Bushra Iqbal,Neurologist,Peshawar,Peshawar Address 35,354-1103350,3
Dr. Nadia2 Akram,Gynecologist,Peshawar,Peshawar Address 79,316-9509083,5
Dr. Amna Qadir,Gynecologist,Peshawar,Peshawar Address 87,397-6914974,4
Dr. Sadia Shabbir,Gynecologist,Peshawar,Peshawar Address 48,365-6920174,3
Dr. Mahnoor Rafiq,Orthopedic Surgeon,Peshawar,Peshawar Address 95,306-5169436,5
Dr. Mariam2 Tariq,Orthopedic Surgeon,Peshawar,Peshawar Address 31,331-6631128,4
Dr. Adeel Zafar,Orthopedic Surgeon,Peshawar,Peshawar Address 6,302-6142864,3
Dr. Junaid Imtiaz,ENT Specialist,Peshawar,Peshawar Address 24,323-4160153,5
Dr. Ahsan Abbas,ENT Specialist,Peshawar,Peshawar Address 59,388-3485574,4
Dr. Nida Baig,ENT Specialist,Peshawar,Peshawar Address 65,303-7659814,3
Dr. Fawad Shahid,Urologist,Peshawar,Peshawar Address 63,317-7490684,5
Dr. Natasha Anwar,Urologist,Peshawar,Peshawar Address 52,316-9328228,4
Dr. Yasir Nadeem,Urologist,Peshawar,Peshawar Address 88,337-1087660,3
Dr. Salman Khan,Dentist,Peshawar,Peshawar Address 3,330-6497170,5
Dr. Usman Hanif,Dentist,Peshawar,Peshawar Address 32,372-8423221,4
Dr. Hira2 Noor,Dentist,Peshawar,Peshawar Address 9,353-8575037,3
Dr. Ali Waqar,Endocrinologist,Peshawar,Peshawar Address 97,314-9598794,5
Dr. Irfan Adeel2,Endocrinologist,Peshawar,Peshawar Address 31,346-3452446,4
Dr. Kiran Javed,Endocrinologist,Peshawar,Peshawar Address 85,352-2677266,3
Dr. Hina Arslan,Psychiatrist,Peshawar,Peshawar Address 30,346-6780443,5
Dr. Asma Tariq,Psychiatrist,Peshawar,Peshawar Address 14,381-3472108,4
Dr. Noor Farhan2,Psychiatrist,Peshawar,Peshawar Address 87,313-5474127,3
Dr. Danish Ahmed,Oncologist,Peshawar,Peshawar Address 10,388-7094197,5
Dr. Rabia Saeed,Oncologist,Peshawar,Peshawar Address 39,320-9514088,4
Dr. Talha Raza,Oncologist,Peshawar,Peshawar Address 43,310-9335357,3
Dr. Bilal Sami,Pulmonologist,Peshawar,Peshawar Address 90,343-9721664,5
Dr. Hamza Iqbal,Pulmonologist,Peshawar,Peshawar Address 97,355-7126486,4
Dr. Usman2 Khurram,Pulmonologist,Peshawar,Peshawar Address 48,321-3252400,3
Dr. Shazia Iqbal,Cardiologist,Quetta,Quetta Address 35,389-2654086,5
Dr. Kamran Amna2,Cardiologist,Quetta,Quetta Address 35,343-2492071,4
Dr. Sara Raza,Cardiologist,Quetta,Quetta Address 36,330-5303134,3
Dr. Samina Qureshi,Dermatologist,Quetta,Quetta Address 42,387-6415085,5
Dr. Ahmed Hussain,Dermatologist,Quetta,Quetta Address 67,342-1842392,4
Dr. Sana Rauf,Dermatologist,Quetta,Quetta Address 74,380-6910384,3
Dr. Rida Khalid,Pediatrician,Quetta,Quetta Address 65,378-6198164,5
Dr. Hassan Shahid,Pediatrician,Quetta,Quetta Address 76,398-1946586,4
Dr. Arif Malik,Pediatrician,Quetta,Quetta Address 85,319-3275818,3
Dr. Tariq Ali,Neurologist,Quetta,Quetta Address 95,322-7516233,5
Dr. Nadia Hafsa,Neurologist,Quetta,Quetta Address 52,355-6251054,4
Dr. Anum Iqbal,Neurologist,Quetta,Quetta Address 78,394-5287655,3
Dr. Zeeshan Ahmed,Gynecologist,Quetta,Quetta Address 100,348-5802324,5
Dr. Omar Hussain,Gynecologist,Quetta,Quetta Address 17,305-9675210,4
Dr. Haroon Mehmood,Gynecologist,Quetta,Quetta Address 85,301-7313501,3
Dr. Adnan Qaiser,Orthopedic Surgeon,Quetta,Quetta Address 78,306-6295867,5
Dr. Saad Jameel,Orthopedic Surgeon,Quetta,Quetta Address 46,300-3500496,4
Dr. Fatima Sumaira,Orthopedic Surgeon,Quetta,Quetta Address 79,372-4286342,3
Dr. Faisal Riaz,ENT Specialist,Quetta,Quetta Address 19,360-2890015,5
Dr. Zubair Noman,ENT Specialist,Quetta,Quetta Address 65,326-8570992,4
Dr. Waqas Bilal3,ENT Specialist,Quetta,Quetta Address 99,385-7877883,3
Dr. Zainab Haider,Urologist,Quetta,Quetta Address 64,372-2285367,5
Dr. Sajid Zia,Urologist,Quetta,Quetta Address 60,333-1687953,4
Dr. Tahir Mehmood,Urologist,Quetta,Quetta Address 36,313-2277908,3
Dr. Imran Tariq2,Dentist,Quetta,Quetta Address 24,348-7342734,5
Dr. Yousaf Malik,Dentist,Quetta,Quetta Address 56,395-9806227,4
Dr. Maryam Khan,Dentist,Quetta,Quetta Address 25,324-4882851,3
Dr. Nimra Farooq,Endocrinologist,Quetta,Quetta Address 96,357-6499292,5
Dr. Mariam Aslam,Endocrinologist,Quetta,Quetta Address 85,350-8052114,4
Dr. Saima Iqbal,Endocrinologist,Quetta,Quetta Address 42,339-8211431,3
Dr. Lubna Iqbal,Psychiatrist,Quetta,Quetta Address 66,380-2472703,5
Dr. Ayesha Akram,Psychiatrist,Quetta,Quetta Address 1,396-7406959,4
Dr. Farhan Qadir,Psychiatrist,Quetta,Quetta Address 37,313-1323542,3
Dr. Shahbaz Shabbir,Oncologist,Quetta,Quetta Address 75,336-4149498,5
Dr. Mehreen Rafiq,Oncologist,Quetta,Quetta Address 26,327-7003764,4
Dr. Iqra Tariq,Oncologist,Quetta,Quetta Address 96,399-3028301,3
Dr. Bilal2 Zafar,Pulmonologist,Quetta,Quetta Address 63,393-3210655,5
Dr. Hira Imtiaz,Pulmonologist,Quetta,Quetta Address 7,398-2403429,4
Dr. Khalid Abbas,Pulmonologist,Quetta,Quetta Address 25,337-2276527,3
Dr. Areeba Baig,Cardiologist,Multan,Multan Address 22,300-4272365,5
Dr. Bushra Shahid,Cardiologist,Multan,Multan Address 80,380-2676564,4
Dr. Nadia2 Anwar,Cardiologist,Multan,Multan Address 84,354-7044589,3
Dr. Amna Nadeem,Dermatologist,Multan,Multan Address 74,300-5035906,5
Dr. Sadia Khan,Dermatologist,Multan,Multan Address 81,396-8770221,4
Dr. Mahnoor Hanif,Dermatologist,Multan,Multan Address 24,309-1141778,3
Dr. Mariam2 Noor,Pediatrician,Multan,Multan Address 43,365-8279610,5
Dr. Adeel Waqar,Pediatrician,Multan,Multan Address 72,344-5219935,4
Dr. Junaid Adeel2,Pediatrician,Multan,Multan Address 4,340-8711940,3
Dr. Ahsan Javed,Neurologist,Multan,Multan Address 56,301-8612848,5
Dr. Nida Arslan,Neurologist,Multan,Multan Address 21,366-2131147,4
Dr. Fawad Tariq,Neurologist,Multan,Multan Address 92,383-1142249,3
Dr. Natasha Farhan2,Gynecologist,Multan,Multan Address 13,309-2982362,5
Dr. Yasir Ahmed,Gynecologist,Multan,Multan Address 31,313-9325556,4
Dr. Salman Saeed,Gynecologist,Multan,Multan Address 29,358-2124950,3
Dr. Usman Raza,Orthopedic Surgeon,Multan,Multan Address 64,346-9776392,5
Dr. Hira2 Sami,Orthopedic Surgeon,Multan,Multan Address 53,310-2464329,4
Dr. Ali Iqbal,Orthopedic Surgeon,Multan,Multan Address 17,386-8856833,3
Dr. Irfan Khurram,ENT Specialist,Multan,Multan Address 99,333-9598969,5
Dr. Kiran Iqbal,ENT Specialist,Multan,Multan Address 77,379-4879522,4
Dr. Hina Amna2,ENT Specialist,Multan,Multan Address 70,314-2686171,3
Dr. Asma Raza,Urologist,Multan,Multan Address 30,333-9790737,5
Dr. Noor Qureshi,Urologist,Multan,Multan Address 48,354-3678886,4
Dr. Danish Hussain,Urologist,Multan,Multan Address 43,374-3258593,3
Dr. Rabia Rauf,Dentist,Multan,Multan Address 21,397-8693598,5
Dr. Talha Khalid,Dentist,Multan,Multan Address 50,367-8370076,4
Dr. Bilal Shahid,Dentist,Multan,Multan Address 100,310-5990520,3
Dr. Hamza Malik,Endocrinologist,Multan,Multan Address 14,319-8996891,5
Dr. Usman2 Ali,Endocrinologist,Multan,Multan Address 50,335-3705506,4
Dr. Shazia Hafsa,Endocrinologist,Multan,Multan Address 84,321-2617694,3
Dr. Kamran Iqbal,Psychiatrist,Multan,Multan Address 5,376-1916155,5
Dr. Sara Ahmed,Psychiatrist,Multan,Multan Address 61,338-3638914,4
Dr. Samina Hussain,Psychiatrist,Multan,Multan Address 21,390-2412214,3
Dr. Ahmed Mehmood,Oncologist,Multan,Multan Address 10,319-8603284,5
Dr. Sana Qaiser,Oncologist,Multan,Multan Address 71,333-4627747,4
Dr. Rida Jameel,Oncologist,Multan,Multan Address 45,313-6770093,3
Dr. Hassan Sumaira,Pulmonologist,Multan,Multan Address 44,367-4725090,5
Dr. Arif Riaz,Pulmonologist,Multan,Multan Address 68,379-7323322,4
Dr. Tariq Noman,Pulmonologist,Multan,Multan Address 82,390-6079750,3
